"year","operatingcarrier","airlinename","totalflights","sumofyearlydelayeddeapartureminutes","sumofyearlydelayedsarrivalminutes","delayeddepartedflights","delayedarrivalflights","ontimeperformancedeparture","ontimeperformancearrival"
"2015","B6","JetBlue Airways","267048","3839241","3889470","102061","101998","61.7817770588059076","61.8053683232976843"
"2015","DL","Delta Air Lines Inc.","875881","8385604","8046301","282463","250840","67.7509844373836172","71.3614064010978660"
"2015","EV","ExpressJet Airlines LLC d/b/a aha!","571977","6938681","7504821","169897","213217","70.2965329025467807","62.7228017909811059"
"2015","F9","Frontier Airlines Inc.","90836","1554161","1698364","34893","41232","61.5868157999031221","54.6083050772821348"
"2015","HA","Hawaiian Airlines Inc.","76272","339340","464146","20146","30179","73.5866372980910426","60.4323998321795679"
"2015","MQ","Envoy Air","294632","3764411","4089400","93726","103505","68.1887914415270575","64.8697358060224280"
"2015","NK","Spirit Air Lines","117379","2183787","2313017","52089","56887","55.6232375467502705","51.5356239190996686"
"2015","OO","SkyWest Airlines Inc.","588353","6726185","7215186","171572","222435","70.8385951971010601","62.1936150576269688"
"2015","UA","United Air Lines Inc.","515723","8364090","7301833","256550","186227","50.2543031821345955","63.8901115521316676"
"2015","US","US Airways Inc.","198715","1783141","2091729","62565","76285","68.5152102257001233","61.6108497093827844"
"2015","VX","Virgin America","61903","708056","742936","23379","24180","62.2328481656785616","60.9388882606658805"
"2015","WN","Southwest Airlines Co.","1261855","15276796","13849257","566807","470767","55.0814475514223108","62.6924646651160395"
"2016","AA","American Airlines Inc.","914495","10857180","11736094","298441","335945","67.3654858692502419","63.2644246278000426"
"2016","AS","Alaska Airlines Inc.","177280","1023754","1204195","39387","55062","77.7826037906137184","68.9406588447653430"
"2016","B6","JetBlue Airways","282473","4565676","4542959","115060","110340","59.2669033854563091","60.9378595476381813"
"2016","DL","Delta Air Lines Inc.","922746","9501883","8885414","278727","237527","69.7937460579617793","74.2586800701384780"
"2016","EV","ExpressJet Airlines LLC d/b/a aha!","490990","6591376","6750214","130518","156528","73.4173812093932667","68.1199209759872910"
"2016","F9","Frontier Airlines Inc.","95121","1586808","1613105","33399","35517","64.8878796480272495","62.6612419970353550"
"2016","HA","Hawaiian Airlines Inc.","76789","304504","380329","19020","25730","75.2308273320397453","66.4925965958665955"
"2016","NK","Spirit Air Lines","138199","2166798","2224785","52914","56052","61.7117345277462210","59.4410958111129603"
"2016","OO","SkyWest Airlines Inc.","605933","6981104","7359049","154298","197161","74.5354684428806485","67.4615840365188891"
"2016","UA","United Air Lines Inc.","545067","7560111","6783062","215501","159781","60.4633925737569877","70.6859890618951432"
"2016","VX","Virgin America","69121","929266","981317","28926","29751","58.1516471115869273","56.9580879906251356"
"2016","WN","Southwest Airlines Co.","1299444","13885462","13151320","555051","485391","57.2855005679352092","62.6462548597707943"
"2017","AA","American Airlines Inc.","896348","10012805","10752801","282508","316561","68.4823305234127816","64.6832480242048847"
"2017","AS","Alaska Airlines Inc.","185067","1425289","1691501","49647","67275","73.1734993272706641","63.6483003452803579"
"2017","B6","JetBlue Airways","298654","5907350","5804025","119115","116031","60.1160540290771260","61.1486871094979475"
"2017","DL","Delta Air Lines Inc.","923560","10168637","9519957","280975","243187","69.5769630560006930","73.6685218069210447"
"2017","EV","ExpressJet Airlines LLC d/b/a aha!","339541","5623814","5685945","94517","109946","72.1633028117370214","67.6192271331002736"
"2017","F9","Frontier Airlines Inc.","103026","1594422","1550250","37137","36560","63.9537592452390659","64.5138120474443344"
"2017","HA","Hawaiian Airlines Inc.","80172","412098","506850","22854","30249","71.4937883550366712","62.2698697799730579"
"2017","NK","Spirit Air Lines","156818","2218139","2253989","47412","51420","69.7662258159139895","67.2103967656774095"
"2017","OO","SkyWest Airlines Inc.","706526","10242691","10768432","185578","239367","73.7337337904054486","66.1205673959627813"
"2017","UA","United Air Lines Inc.","584481","7465873","7239486","184120","169779","68.4985482847175528","70.9521780861995514"
"2017","VX","Virgin America","70981","1147360","1274521","28938","33515","59.2313435989912794","52.7831391499133571"
"2017","WN","Southwest Airlines Co.","1329444","15537026","14564953","615095","530655","53.7329139098751057","60.0844413153167790"
"2018","9E","Endeavor Air Inc.","245917","3503341","3604844","64942","73316","73.5919029591284864","70.1866890048268318"
"2018","AA","American Airlines Inc.","916818","11795995","12340927","317751","336974","65.3419762700994090","63.2452678721403812"
"2018","AS","Alaska Airlines Inc.","245761","1908935","2227864","66254","84597","73.0412880806962862","65.5775326435032410"
"2018","B6","JetBlue Airways","305010","5876305","5901592","125011","126936","59.0141306842398610","58.3830038359398053"
"2018","DL","Delta Air Lines Inc.","949282","9607036","9318954","286165","261185","69.8545848335900186","72.4860473494704419"
"2018","EV","ExpressJet Airlines LLC d/b/a aha!","202890","3334402","3527543","53898","68244","73.4348661836463108","66.3640396273842969"
