"flightdate","totalflights","ontimeperformancedeparture","ontimeperformancearrival"
"2009-04-26","17664","64.9966032608695652","61.8829257246376812"
"2009-04-27","18563","62.3282874535366051","57.6253838280450358"
"2009-04-28","17996","75.0500111135807957","70.0544565458990887"
"2009-04-29","18248","75.8384480491012714","68.8294607628233231"
"2009-04-30","18569","66.3632936614788088","62.6689644030373203"
"2009-05-01","18659","60.1961519909963021","54.7510584704432178"
"2009-05-02","15103","70.8137456134542806","65.8014963914454082"
"2009-05-03","17672","61.7870076957899502","57.7127659574468085"
"2009-05-04","18542","65.8451084025455722","60.7593571351526265"
"2009-05-05","17857","72.4981799854398835","65.4141233129865039"
"2009-05-06","18149","64.7749187283045898","56.5265303873491652"
"2009-05-07","18542","63.3103225110559810","58.9580412037536404"
"2009-05-08","18621","64.0137479190161645","60.9419472638418989"
"2009-05-09","15078","70.8847327231728346","66.6467701286642791"
"2009-05-10","17558","69.4384326233056157","65.7478072673425219"
"2009-05-11","18548","65.1067500539141686","59.6883761052404572"
"2009-05-12","17879","75.5411376475194362","69.4054477319760613"
"2009-05-13","18173","68.9209266494249711","61.0906289550431960"
"2009-05-14","18563","53.6066368582664440","48.8175402682756020"
"2009-05-15","18634","55.6831598153912203","51.7226575077814747"
"2009-05-16","15137","58.4197661359582480","53.6698156834247209"
"2009-05-17","17615","63.9171160942378655","61.3397672438262844"
"2009-05-18","18582","65.0199117425465504","62.7219890216338392"
"2009-05-19","17939","73.1757623055911701","70.9069624839734656"
"2009-05-20","18229","70.1464699105820396","68.4513686982280981"
"2009-05-21","18690","62.3863028357410380","62.2471910112359551"
"2009-05-22","18760","58.7313432835820896","57.2814498933901919"
"2009-05-23","14920","66.9302949061662198","66.8431635388739946"
"2009-05-24","14577","71.2629484804829526","66.8793304520820471"
"2009-05-25","17695","71.5625883017801639","67.7083922011867759"
"2009-05-26","18300","60.3442622950819672","56.3770491803278689"
"2009-05-27","18504","64.4293125810635538","59.0629053177691310"
"2009-05-28","18665","65.3308331100991160","58.6552370747388160"
"2009-05-29","18736","66.4869769427839453","62.4839880444064902"
"2009-05-30","15214","73.5375312212435914","73.5441041146312607"
"2009-05-31","17691","70.6687015996834549","71.4091911141258267"
"2009-06-01","18648","70.0128700128700129","66.9562419562419562"
