"year","month","origin","sum"
"2016","3","LRD","1819"
"2016","3","LSE","117"
"2016","3","LWS","-266"
"2016","3","MAF","3674"
"2016","3","MBS","984"
"2016","3","MCI","22458"
"2016","3","MCO","152526"
"2016","3","MDT","1876"
"2016","3","MDW","52424"
"2016","3","MEI","2782"
"2016","3","MEM","4504"
"2016","3","MFE","1449"
"2016","3","MFR","2629"
"2016","3","MGM","1010"
"2016","3","MHT","2664"
"2016","3","MIA","88529"
"2016","3","MKE","17536"
"2016","3","MKG","336"
"2016","3","MLB","663"
"2016","3","MLI","505"
"2016","3","MLU","803"
"2016","3","MMH","166"
"2016","3","MOB","1458"
"2016","3","MOT","1550"
"2016","3","MQT","1155"
"2016","3","MRY","2081"
"2016","3","MSN","1708"
"2016","3","MSO","497"
"2016","3","MSP","55615"
"2016","3","MSY","33058"
"2016","3","MTJ","1671"
"2016","3","MYR","4630"
"2016","3","OAJ","206"
"2016","3","OAK","31094"
"2016","3","OGG","15309"
"2016","3","OKC","5632"
"2016","3","OMA","4017"
"2016","3","OME","30"
"2016","3","ONT","15640"
"2016","3","ORD","229059"
"2016","3","ORF","4829"
"2016","3","ORH","664"
"2016","3","OTH","712"
"2016","3","OTZ","-259"
"2016","3","PAH","-16"
"2016","3","PBG","185"
"2016","3","PBI","35601"
"2016","3","PDX","21015"
"2016","3","PHF","292"
"2016","3","PHL","37191"
"2016","3","PHX","82601"
"2016","3","PIA","2686"
"2016","3","PIB","740"
"2016","3","PIH","-582"
"2016","3","PIT","9526"
"2016","3","PLN","579"
"2016","3","PNS","2168"
"2016","3","PPG","7"
"2016","3","PSC","1199"
"2016","3","PSE","32"
"2016","3","PSG","-517"
"2016","3","PSP","16594"
"2016","3","PVD","6004"
"2016","3","PWM","2208"
"2016","3","RAP","617"
"2016","3","RDD","1150"
"2016","3","RDM","1345"
"2016","3","RDU","15569"
"2016","3","RHI","-48"
"2016","3","RIC","8564"
"2016","3","RKS","-97"
"2016","3","RNO","17329"
"2016","3","ROA","101"
"2016","3","ROC","2102"
"2016","3","ROW","-76"
"2016","3","RST","481"
"2016","3","RSW","47845"
"2016","3","SAF","1931"
"2016","3","SAN","49105"
"2016","3","SAT","17852"
"2016","3","SAV","5558"
"2016","3","SBA","6928"
"2016","3","SBN","3867"
"2016","3","SBP","2229"
"2016","3","SCC","-712"
"2016","3","SCE","189"
"2016","3","SDF","5498"
"2016","3","SEA","54500"
"2016","3","SFO","241931"
"2016","3","SGF","666"
"2016","3","SGU","691"
"2016","3","SHV","2403"
"2016","3","SIT","503"
"2016","3","SJC","21957"
"2016","3","SJT","1749"
"2016","3","SJU","20605"
"2016","3","SLC","38957"
"2016","3","SMF","25918"
"2016","3","SMX","1292"
"2016","3","SNA","24153"
"2016","3","SPI","1003"
"2016","3","SPS","657"
"2016","3","SRQ","6637"
"2016","3","STL","33077"
"2016","3","STT","3956"
"2016","3","STX","1009"
"2016","3","SUN","492"
"2016","3","SWF","378"
"2016","3","SYR","3941"
