"year","operatingcarrier","airlinename","totalflights","sumofyearlydelayeddeapartureminutes","sumofyearlydelayedsarrivalminutes"
"2016","WN","Southwest Airlines Co.","1299444","11665079","4996956"
"2017","AA","American Airlines Inc.","896348","7238270","3397217"
"2017","AS","Alaska Airlines Inc.","185067","450959","115292"
"2017","B6","JetBlue Airways","298654","4817688","3179289"
"2017","DL","Delta Air Lines Inc.","923560","7773701","-68220"
"2017","EV","ExpressJet Airlines LLC d/b/a aha!","339541","4185000","2637578"
"2017","F9","Frontier Airlines Inc.","103026","1238135","578573"
"2017","HA","Hawaiian Airlines Inc.","80172","112090","152194"
"2017","NK","Spirit Air Lines","156818","1543997","845576"
"2017","OO","SkyWest Airlines Inc.","706526","7192151","4914593"
"2017","UA","United Air Lines Inc.","584481","5488462","1002713"
"2017","VX","Virgin America","70981","925120","776922"
"2017","WN","Southwest Airlines Co.","1329444","13441993","6605883"
"2018","9E","Endeavor Air Inc.","245917","2522847","1052650"
"2018","AA","American Airlines Inc.","916818","9096217","4886289"
"2018","AS","Alaska Airlines Inc.","245761","604745","-121869"
"2018","B6","JetBlue Airways","305010","4740753","3404123"
"2018","DL","Delta Air Lines Inc.","949282","7058143","-273548"
"2018","EV","ExpressJet Airlines LLC d/b/a aha!","202890","2430901","1730068"
"2018","F9","Frontier Airlines Inc.","120032","2317069","1669732"
"2018","G4","Allegiant Air","96221","1233757","950351"
"2018","HA","Hawaiian Airlines Inc.","83723","76231","70978"
"2018","MQ","Envoy Air","296001","2220928","1524130"
"2018","NK","Spirit Air Lines","176178","1722154","900500"
"2018","OH","PSA Airlines Inc.","278457","3213115","2189356"
"2018","OO","SkyWest Airlines Inc.","774135","7725334","5357671"
"2018","UA","United Air Lines Inc.","621565","6206088","3544908"
"2018","VX","Virgin America","17670","109208","29640"
"2018","WN","Southwest Airlines Co.","1352552","14864719","6018399"
"2018","YV","Mesa Airlines Inc.","215137","2355167","1851123"
"2018","YX","Republic Airline","316089","2247685","938224"
"2019","9E","Endeavor Air Inc.","257246","2606763","785785"
"2019","AA","American Airlines Inc.","946776","11235954","6437726"
"2019","AS","Alaska Airlines Inc.","264817","1319025","352734"
"2019","AX","Trans States Airlines","76000","1422606","1269026"
"2019","B6","JetBlue Airways","297411","5212928","3285392"
